,phat
0,0.1420899753680577
1,0.0816737701960575
2,0.1258225012237398
3,0.0069728069143242
4,0.130426210699668
5,0.0946465134278726
6,0.046468053573949
7,0.0734140974308462
8,0.1851830223961136
9,0.0711006937794485
10,0.0871458607778724
11,0.0518315436326807
12,0.0437800655678727
13,0.1314960253370241
14,0.1056544179645168
15,0.0685886258481528
16,0.0199365580095488
17,0.0557696788520408
18,0.1068776814149993
19,0.0941461904455116
20,0.0937302664192729
21,0.0688777354206675
22,0.0896326742860037
23,0.1578270030191619
24,0.149613580356908
25,0.0545273216013403
26,0.1272727506456603
27,0.1295397420379087
28,0.1408376679018926
29,0.0327910959963797
30,0.2287171928704812
31,0.0494093135478745
32,0.1280797857589376
33,0.0723493575554197
34,0.0092447879490925
35,0.0306698388534848
36,0.091835413835175
37,0.0224690234976793
38,0.0759850978133472
39,0.0132041064064987
40,0.1058923625559855
41,0.1451426093919232
42,0.0484440084217769
43,0.1322687037711224
44,0.0964093482122518
45,0.1553441891900811
46,0.0831475931410842
47,0.0515473708758563
48,0.0287063448592222
49,0.1096669360300035
50,0.0354117401578113
51,0.142783594747011
52,0.0122367617593865
53,0.0666896218500647
54,0.0849320499218763
55,0.032038759182084
56,0.0689760697492219
57,0.0311519311932963
58,0.0404371714492033
59,0.0406420975341955
60,0.0621398059939842
61,0.0651641564333136
62,0.0957308493230202
63,0.0878755859852912
64,0.1316875510782865
65,0.195926848423448
66,0.0882782374200451
67,0.0649977430428561
68,0.0368006116075091
69,0.0876103763848658
70,0.0817152257782758
71,0.1273351546040438
72,0.0268674706235233
73,0.0166056691435548
74,0.1021755475155368
75,0.174652281844277
76,0.0790904720729825
77,0.1227870883645491
78,0.1257321270420803
79,0.0722086652609695
80,0.0895797507335894
81,0.1907680358914847
82,0.0990418899731131
83,0.0943779782686702
84,0.1436130695263375
85,0.1322687037711224
86,0.0738393743474744
87,0.0122001089518145
88,0.1643074621664292
89,0.0901995130739621
90,0.0145346092076264
91,0.0957567912718455
92,0.0661877449970854
93,0.079175335758869
94,0.0585813135395319
95,0.1507714081939999
96,0.0654489865972236
97,0.0359046806202202
98,0.0611046447347092
99,0.1997811477059458
100,0.0740788522691183
101,0.0996080832262561
102,0.1254571269172628
103,0.0919850186421461
104,0.0807132042029892
105,0.1437340285082399
106,0.0568335278970035
107,0.111855744530856
108,0.1547284878283294
109,0.0342322017764542
110,0.1166587891965426
111,0.1069615175047316
112,0.0023235481908309
113,0.0964098241869943
114,0.0492552108934425
115,0.193517887894835
116,0.050567065761659
117,0.1167512880434352
118,0.0533824237500382
119,0.0994338373247642
120,0.0878668231302886
121,0.0819257706406185
122,0.0957778848052151
123,0.0410816534570098
124,0.1507303043691997
125,0.063793599869306
126,0.2044060589396584
127,0.1403102800035239
128,0.1315022685200756
129,0.1616843187569964
130,0.0431324409748274
131,0.1578911118551923
132,0.0618734782540739
133,0.1115088509045032
134,0.1624088928736672
135,0.0750475581340191
136,0.0680755323274393
137,0.0523968940173271
138,0.1143686436282232
139,0.0946646651929966
140,0.0605589499269979
141,0.1165312027399759
142,0.1231329274763106
143,0.0591496984919083
144,0.0985278688548068
145,0.1578270030191619
146,0.1128831487033497
147,0.0389115331953339
148,0.2298111311218395
149,0.0902299420547217
150,0.1101814418162115
151,0.1280797857589376
152,0.0990418899731131
153,0.0295389018968785
154,0.0499297944294474
155,0.0499783950037326
156,0.1257065056129225
157,0.0976777915919018
158,0.0703804455215028
159,0.1674870048359799
160,0.0745087065760437
161,0.0239900821927274
162,0.0787711872497732
163,0.0578639515253242
164,0.073872805336814
165,0.0631886688845595
166,0.1254571269172628
167,0.0553787736177649
168,0.0255279640355409
169,0.0320379874737513
170,0.122827368592186
171,0.0606394714172523
172,0.1038798572892971
173,0.0266094020155538
174,0.1543191287985614
175,0.051760733456626
176,0.0758809049448344
177,0.1020811710394436
178,0.1376281693437474
179,0.00018326914151617983
180,0.0446890163833272
181,0.0441550338509119
182,0.1451614236762203
183,0.186379411665364
184,0.1507303043691997
185,0.0745087065760437
186,0.1937625136360488
187,0.0620699104094547
188,0.07011516880178
189,0.0407404948894999
190,0.1086388383513412
191,0.1522233592100752
192,0.0942822395660107
193,0.098730701918264
194,0.1031069535753341
195,0.114686398696513
196,0.0270757769502683
197,0.0978341567272079
198,0.0485700747624727
199,0.1086388383513412
200,0.0001832633800533622
201,0.0504055636099935
202,0.1137354331756409
203,0.0660525787545336
204,0.0360326533145697
205,0.111961886722433
206,3.495559042253674e-05
207,0.0580878719246733
208,0.1088374067988149
209,0.0238850906785604
210,0.0751368972290808
211,0.2044060589396584
212,0.1139824798036716
213,0.1397443067397103
214,0.0267638258208254
215,0.0053853649538113
216,0.038754505541306
217,0.110333421444171
218,0.0153464755295833
219,0.0618980821781313
220,0.014426318844478
221,0.0465656040899412
222,0.05581274485976
223,0.1244521854467203
224,0.1952352010666298
225,0.1494064779392125
226,0.0375832311631382
227,0.0539623223902135
